HabHyg,Hip,Hab?,Display Name,Hyg,BayerFlamsteed,Gliese,BD,HD,HR,Proper Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
133,0,,Gl 566 B,86831,,Gl 566 B,,,-,,K4 Ve,6.7,3,1.3,5.9,7.839717186
134,72659,,37 Xi Boötis,52586,37 Xi Boötis,Gl 566,,131156,5544,,G8V + K4V,6.7,3,1.3,5.9,5.569717186
135,106106,1,Gl 829,77119,,Gl 829,,,,,M4,6.7,2.2,5.8,-2.7,11.15555933
136,0,,Gl 299,86352,,Gl 299,,,-,,dM5,6.8,-5.2,-3.5,2.5,13.68130858
137,0,,NN 4285,87369,,NN 4285,,,-,,m,6.8,3.7,-2.9,-4.9,12.28658667
138,114176,,Hip 114176,82870,,,,,,,,6.8,2.6,0.6,-6.2,13.13057485
139,0,,Gl 293,86332,,Gl 293,,,-,,DQ9,6.9,1.2,-6.4,-2.3,14.88234266
140,113296,1,BD+15°4733,82242,,Gl 880,BD+15°4733,216899,,,M2:,6.9,0.3,5.4,-4.3,9.480879683
141,0,,Gl 667 B,86989,,Gl 667 B,,,-,,K5 V,7,6.9,-1,0.2,7.983502763
142,0,,Gl 667 C,86990,,Gl 667 C,,,-,,M2.5,7,6.9,-1,0.2,11.02350276
143,84709,,Gl 667,60944,,Gl 667,,156384,6426,,K4V,7,6.9,-1,0.2,7.073502763
144,103096,,Gl 809,74843,,Gl 809,,199305,,,M2V,7,-1,6.8,1.4,9.310676984
145,0,,Gl 105 B,85972,,Gl 105 B,,,-,,dM4.5,7.2,-4.7,1.4,-5.3,12.3706954
146,0,,NN 3737,86672,,NN 3737,,,-,,M4,7.2,3.3,-5.7,3,13.455074
147,0,,GJ 1286,87430,,GJ 1286,,,-,,M5,7.2,0.4,3.7,-6.2,15.39881615
148,12114,,Gl 105,8475,,Gl 105,,16160,753,,K3V,7.2,-4.7,1.4,-5.3,6.530695401
149,51317,1,BD+01°2447,38069,,Gl 393,BD+01°2447,,,,M2,7.2,-2.1,-4.5,5.3,10.34395388
150,0,,NN 4053,87058,,NN 4053,,,-,,m,7.3,-0.7,6.4,3.4,14.16835269
151,83945,,NN 3991,60393,,NN 3991,,,,,M3,7.3,2.1,5.5,4.3,12.49687632
152,0,,GJ 1230,87078,,GJ 1230,,,-,,k-m,7.4,4.2,5.8,1.7,13.06769454
153,0,,GJ 1230 B,87079,,GJ 1230 B,,,-,,m,7.4,4.2,5.8,1.7,14.66769454
154,0,,GJ 2005,85790,,GJ 2005,,,-,,M5.5,7.5,0.7,0.4,-7.5,16.03599038
155,0,,GJ 1224,87045,,GJ 1224,,,-,,m,7.5,7.3,1.8,0.3,14.24435461
156,0,,NN 4274,87348,,NN 4274,,,-,,M4,7.5,3.3,2.8,-6.1,13.88714389
157,2021,1,Beta Hydri,1451,Beta Hydri,Gl 19,,2151,98,,G2IV,7.5,3.3,-4.7,-4.8,3.431955958
158,3765,1,BD+04°123,2628,,Gl 33,BD+04°123,4628,222,,K2V,7.5,-2.1,3.4,-6.3,6.376172096
159,7981,,107 Piscium,5587,107 Piscium,Gl 68,,10476,493,,K1V,7.5,-4.2,3.7,-4.9,5.85406505
160,73182,1,BD-20°4123,52956,,Gl 570 B,BD-20°4123,131976,,,K5V,7.5,5.8,-2.3,4,8.629519842
161,0,,Gl 53 B,85852,,Gl 53 B,,,-,,,7.6,-4.3,6.1,-1,11.60943993
162,0,,NN 3193 B,86003,,NN 3193 B,,,-,,M3,7.6,-3.8,-1.4,-6.5,12.38635648
163,0,,NN 3378,86225,,NN 3378,,,-,,m,7.6,-6.5,3.2,2.2,12.31615728
164,5336,,30 Mu Cassiopeiae,3738,30 Mu Cassiopeiae,Gl 53,,6582,321,,G5Vp,7.6,-4.3,6.1,-1,5.779439926
165,12781,,Gl 109,8959,,Gl 109,,,,,M3.5Ve,7.6,-5.8,3,-3.9,11.17976792
166,65859,1,BD+11°2576,48033,,Gl 514,BD+11°2576,,,,M1V,7.6,2.2,-1.1,7.2,9.638344703
167,113283,,Gl 879,82234,,Gl 879,,216803,8721,,K4Vp,7.6,3.1,0.9,-6.9,7.065361683
168,61874,1,Gl 480.1,45409,,Gl 480.1,,,,,M4,7.7,3.7,-6.2,2.5,12.81838533
169,85295,1,BD+02°3312,61373,,Gl 673,BD+02°3312,157881,,,K7V,7.7,6.6,3,2.6,8.092019464
170,113368,,Fomalhaut,82291,24 Alpha Piscis Austrini,Gl 881,,216956,8728,Fomalhaut,A3V,7.7,3.1,1.1,-7,1.731052641
171,0,,NN 3417,86271,,NN 3417,,,-,,m,7.8,-6.3,3.1,3.2,14.20294855
172,0,,GJ 1093,86275,,GJ 1093,,,-,,m,7.8,-7.3,-2.2,1.4,15.38126459
173,0,,Gl 915,87475,,Gl 915,,,-,,DA5,7.8,2.2,-1.2,-7.4,13.58944013
174,49986,1,BD-03°2870,37056,,Gl 382,BD-03°2870,,,,M3,7.8,-2.5,-5.4,5.1,9.805880195
175,88574,1,BD-03°4233,63780,,Gl 701,BD-03°4233,165222,,,M2V,7.8,7,3.2,1.2,9.920794756
176,91262,,Vega,65795,3 Alpha Lyrae,Gl 721,,172167,7001,Vega,A0Vvar,7.8,2.8,6.8,2.6,0.581769913
177,0,,NN 3789,86734,,NN 3789,,,-,,M4 e,7.9,0.8,1,7.8,12.45185273
178,0,,GJ 1087,86220,,GJ 1087,,,-,,DAP9,8,-7.3,-2.9,-1.3,14.58628655
179,0,,Gl 257 B,86274,,Gl 257 B,,,-,,M3,8,-2.1,-7.4,-2.4,12.17793873
180,0,,Gl 831 B,87272,,Gl 831 B,,,-,,,8,4.5,4.2,-5.1,15.38142089
181,22449,,1 Pi 3 Orionis,15856,1 Pi 3 Orionis,Gl 178,,30652,1543,,F6V,8,-7.2,-1.5,-3.1,3.667590212
182,33499,1,Gl 257,24345,,Gl 257,,,,,M4+...,8,-2.1,-7.4,-2.4,11.97793873
183,80346,,Gl 623,57809,,Gl 623,,,,,M3,8,1.5,5.6,5.6,10.75305432
184,101180,1,Gl 793,73397,,Gl 793,,,,,M3,8,-1.3,7.6,2.1,11.05529395
185,106255,,Gl 831,77240,,Gl 831,,,,,M4e...,8,4.5,4.2,-5.1,12.53142089
186,0,,Gl 66,85896,,Gl 66,,10361,487,,K2 V,8.1,1.4,-3.9,-7,6.245107504
187,0,,GJ 2034,86111,,GJ 2034,,,-,,DA8,8.1,-1.4,-5.6,-5.7,14.80952556
188,0,,GJ 1123,86445,,GJ 1123,,,-,,m,8.1,2.9,-7.1,-2.7,13.54952556
189,0,,Gl 493.1,86699,,Gl 493.1,,,-,,dM5 e,8.1,1.9,-2.3,7.6,13.84599183
190,0,,NN 4063,87072,,NN 4063,,,-,,M3 p,8.1,2.8,7.1,2.8,11.88710843
191,0,,GJ 1276,87392,,GJ 1276,,,-,,DZ9+,8.1,2,4.1,-6.6,16.12060798
192,0,,GJ 1289,87447,,GJ 1289,,,-,,k,8.1,-2.3,7,-3.3,13.01952556
193,4856,,Gl 48,3401,,Gl 48,,,,,M3.5e,8.1,-4.5,6.7,1.3,10.48546128
194,5496,,Gl 54,3850,,Gl 54,,,,,K,8.1,2.6,-4.6,-6.2,10.24705255
195,7751,,p Eridani,5416,,Gl 66 B,,10360,486,p Eridani,K0V,8.1,1.4,-3.9,-7,6.345107504
196,86287,1,BD+18°3421,62111,,Gl 686,BD+18°3421,,,,M1,8.1,5.5,5,3.3,10.06987861
197,89937,,44 Chi Draconis,64810,44 Chi Draconis,Gl 713,,170153,6927,,F7Vvar,8.1,-1.7,6.9,3.8,4.039033878
198,113576,1,Gl 884,82435,,Gl 884,,217357,,,K5/M0V,8.1,2.8,2.1,-7.3,8.325991834
199,0,,GJ 1151,86610,,GJ 1151,,,-,,m,8.2,-2.9,1.8,7.5,13.67823644
200,0,,Gl 518,86742,,Gl 518,,,-,,DZ9,8.2,3.1,-1.8,7.4,15.08535603
201,0,,GJ 1227,87064,,GJ 1227,,,-,,m,8.2,-0.2,7.3,3.8,13.829304
202,0,,Gl 747,87110,,Gl 747,,,-,,M3.5 J,8.2,3.5,7.2,1.6,12.30245235
203,0,,Gl 747 B,87111,,Gl 747 B,,,-,,M5 K,8.2,3.5,7.2,1.6,12.60245235
204,38956,,GJ 1105,28576,,GJ 1105,,,,,M4V,8.2,-7.1,0.2,4,12.44121217
205,62452,1,Gl 486,45781,,Gl 486,,,,,M4,8.2,1.2,-2.1,7.8,11.80787985
206,76901,,Gl 595,55474,,Gl 595,,,,,M5,8.2,7.1,-1.4,3.8,12.29930587
207,93449,,Hip 93449,67478,,,,,,,A5IIevar,8.2,7.8,0,-2.5,11.99734485
208,0,,Gl 232,86245,,Gl 232,,,-,,M4.5,8.3,-8.2,-1.3,0.7,13.45590623
209,20968,,Hip 20968,14769,,,,,,,,8.3,-4.1,-4.6,-5.6,11.82853635
210,0,,Gl 438,86602,,Gl 438,,,-,,K0,8.4,3.2,-7.7,1.4,10.73773481
211,0,,Gl 695 B,87025,,Gl 695 B,,,-,,M3 J,8.4,4.6,6,3.6,10.728647
212,0,,Gl 695 C,87026,,Gl 695 C,,,-,,M4 K,8.4,4.6,6,3.6,11.178647
213,31292,,Hip 31292,22631,,,,,,,,8.4,2.1,-7.1,-3.8,11.79756626
214,61317,1,8 Beta Canum Venaticorum,45037,8 Beta Canum Venaticorum,Gl 475,BD+42°2321,109358,4785,,G0V,8.4,-1.5,1.5,8.1,4.656112552
215,86974,,86 Mu Herculis,62610,86 Mu Herculis,Gl 695,,161797,6623,,G5IV,8.4,4.6,6,3.6,3.798646999
216,0,,NN 3076,85857,,NN 3076,,,-,,m,8.5,-3.7,4.4,-6.2,14.71941004
217,0,,NN 3146,85942,,NN 3146,,,-,,m,8.5,-5.4,2.8,-5.9,16.15308738
218,0,,GJ 1057,86018,,GJ 1057,,,-,,m,8.5,-6.2,0.5,-5.8,14.16124949
219,0,,Gl 185 B,86163,,Gl 185 B,,,-,,,8.5,-5.3,-4.8,-4.6,10.84797053
220,0,,GJ 1154,86641,,GJ 1154,,,-,,m,8.5,0.9,-3.9,7.5,14.09308738
221,0,,Gl 618 B,86921,,Gl 618 B,,,-,,M5 :,8.5,8,-2.5,1.3,14.50996204
222,23452,1,BD-21°1051,16578,,Gl 185,BD-21°1051,32450,,,M0V,8.5,-5.3,-4.8,-4.6,8.807970526
223,64924,1,61 Virginis,47397,61 Virginis,Gl 506,BD-17°3813,115617,5019,,G5V,8.5,4.1,-4.6,5.9,5.086490061
224,80018,,Gl 618,57578,,Gl 618,,,,,M4,8.5,8,-2.5,1.3,10.95996204
225,0,,NN 3517,86395,,NN 3517,,,-,,m,8.6,-4.8,-6.1,3.6,19.13721421
226,0,,Gl 867 B,87375,,Gl 867 B,,,-,,dM4 e,8.6,3.5,2.7,-7.4,11.76685447
227,1599,1,Zeta Tucanae,1161,Zeta Tucanae,Gl 17,,1581,77,,F9V,8.6,3.3,-4.2,-6.8,4.549391764
228,57802,1,BD+36°2219,42631,,Gl 450,BD+36°2219,,,,M1V,8.6,-2.2,0.1,8.3,10.06944403
229,93873,,Gl 745,67819,,Gl 745,,,,,M2,8.6,5.1,6.9,0.9,11.08060453
230,111802,,Gl 867,81200,,Gl 867,,214479,,,M0Vpe,8.6,3.5,2.7,-7.4,9.416854468
231,113229,,Gl 877,82197,,Gl 877,,,,,K,8.6,4.4,-4.9,-5.5,10.72266431
232,0,,Gl 250 B,86266,,Gl 250 B,,,-,,M2,8.7,-6.9,-5.3,-0.3,10.39235596
233,0,,NN 3839,86798,,NN 3839,,,-,,m,8.7,1.8,2.2,8.2,13.4034892
234,14559,,GJ 1054 B,10205,,GJ 1054 B,,,,,,8.7,-3.2,-3,-7.5,13.38838497
235,25578,1,Gl 203,18132,,Gl 203,,,,,M5,8.7,-8.2,-2.1,-2.1,12.78424437
236,27913,,54 Chi 1 Orionis,19922,54 Chi 1 Orionis,Gl 222,,39587,2047,,G0V,8.7,-8.6,-1.3,-0.4,4.711593478
237,32984,1,BD-05°1844,23943,,Gl 250,BD-05°1844,50281,,,K3V,8.7,-6.9,-5.3,-0.3,6.892355964
238,0,,GJ 1103,86325,,GJ 1103,,,-,,m,8.8,-6.6,-5.5,2,13.78071131
239,0,,GJ 1103 B,86326,,GJ 1103 B,,,-,,m,8.8,-6.6,-5.5,2,15.28071131
240,0,,GJ 2069 B,86366,,GJ 2069 B,,,-,,,8.8,-6.8,-3.2,4.4,13.60452426
241,0,,NN 3667,86589,,NN 3667,,,-,,DC8,8.8,-1.8,-2.5,8.2,14.07452426
242,0,,Gl 666 B,86987,,Gl 666 B,,,-,,M0 V,8.8,8.3,-2.7,-0.8,8.970902117
243,0,,Gl 791.2,87198,,Gl 791.2,,,-,,dM6 e,8.8,5,6.7,-2.5,13.33833052
244,23311,,Gl 183,16473,,Gl 183,,32147,1614,,K3V,8.8,-7.1,-3.3,-4,6.494213896
245,31293,,Hip 31293,22626,,,,,,,,8.8,2.2,-7.5,-4,10.63795019
246,84720,,Gl 666,60954,,Gl 666,,156274,6416,,M0V,8.8,8.3,-2.7,-0.8,5.810902117
247,99825,1,Gl 785,72361,,Gl 785,,192310,7722,,K3V,8.8,7.4,2.1,-4.3,6.001724444
248,109388,1,BD-05°5715,79518,,Gl 849,BD-05°5715,,,,M3,8.8,3.5,5.1,-6.2,10.65395274
249,0,,NN 3128,85918,,NN 3128,,,-,,m,8.9,-5.1,2.9,-6.7,15.85609011
250,0,,Gl 283,86317,,Gl 283,,,-,,DZQ6,8.9,-5.2,-7.2,0.4,13.24609011
251,0,,Gl 283 B,86318,,Gl 283 B,,,-,,m,8.9,-5.2,-7.2,0.4,16.66609011
252,0,,Gl 318,86380,,Gl 318,,,-,,DA6,8.9,-2.4,-8.5,0.9,12.13189878
253,0,,NN 3707,86635,,NN 3707,,,-,,m,8.9,1.9,-5.8,6.5,12.30609011
254,0,,NN 3820,86780,,NN 3820,,,-,,K2 :,8.9,5.5,-4,5.8,13.24609011
255,60559,,Gl 465,44523,,Gl 465,,,,,M4,8.9,2.6,-5.8,6.2,11.53614862
256,93899,,Gl 745 B,67835,,Gl 745 B,,349726,,,M2,8.9,5.3,7.1,0.9,11.01193048
257,0,,Gl 51,85846,,Gl 51,,,-,,M5,9,-5.1,7.4,-0.1,13.88465773
258,0,,Gl 216 B,86212,,Gl 216 B,,38392,1982,,K2 V,9,-5.6,-6,-3.7,6.366179577
259,0,,NN 4360,87450,,NN 4360,,,-,,m,9,1.2,2.6,-8.5,14.72661489
260,17378,,23 Delta Eridani,12165,23 Delta Eridani,Gl 150,,23249,1136,,K0IV,9,-6,-2,-6.5,3.748382928
261,27072,,13 Gamma Leporis,19278,13 Gamma Leporis,Gl 216,,38393,1983,,F7V,9,-5.6,-6,-3.7,3.816179577
262,47103,1,Gl 357,34915,,Gl 357,,,,,K,9,-2.3,-8,3.4,11.15462087
263,56528,1,Gl 433,41760,,Gl 433,,,,,M2V,9,2.1,-7.7,4.2,10.04975709
264,108706,,NN 4247,79022,,NN 4247,,,,,,9,1,8.3,-3.2,12.24773717
265,55360,,Gl 424,40967,,Gl 424,,,,,M1Vvar,9.1,-4.4,4.1,6.8,9.515976168
266,66906,,NN 3801,48765,,NN 3801,,,,,M:,9.1,0.8,1.8,8.9,12.17479087
267,82724,,Hip 82724,59497,,,,,,,Mp,9.1,7.5,-4.8,-1.9,12.04845831
268,0,,NN 3421,86279,,NN 3421,,,-,,M4.5,9.2,-8.1,2.3,3.6,13.48912375
269,0,,Gl 442 B,86604,,Gl 442 B,,,-,,,9.2,2.9,-8.1,3.3,15.17173829
270,0,,Gl 451 B,86613,,Gl 451 B,,,-,,,9.2,-2.5,0.5,8.8,12.19131204
271,15457,,96 Kappa 1 Ceti,10860,96 Kappa 1 Ceti,Gl 137,,20630,996,,G5Vvar,9.2,-6.7,0.2,-6.3,5.01071545
272,40501,1,GJ 2066,29769,,GJ 2066,,,,,,9.2,-6.4,-5.7,3,10.29170967
273,57443,,Gl 442,42401,,Gl 442,,102365,4523,,G3/G5V,9.2,2.9,-8.1,3.3,5.071738292
274,57939,,Groombridge 1830,42721,,Gl 451,,103095,4550,Groombridge 1830,G8Vp,9.2,-2.5,0.5,8.8,6.641312036
275,64394,1,43 Beta Comae Berenices,47030,43 Beta Comae Berenices,Gl 502,BD+28°2193,114710,4983,,G0V,9.2,0.5,0.5,9.1,4.451709668
276,105858,,Gamma Pavonis,76933,Gamma Pavonis,Gl 827,,203608,8181,,F6V,9.2,6,-3.7,-6,4.397148691
277,0,,Gl 176,86147,,Gl 176,,,-,,dM2.5e,9.3,-8.9,0,-2.8,10.13502141
278,0,,NN 3380,86229,,NN 3380,,,-,,m,9.3,-8.6,2.6,2.1,14.6330938
279,0,,GJ 1253,87196,,GJ 1253,,,-,,M5,9.3,-0.6,9.1,1.9,14.19906136
280,23512,1,NN 3325,16622,,NN 3325,,,,,K:,9.3,-6.3,-4.8,-4.8,11.85430208
281,23932,1,Gl 190,16938,,Gl 190,,,,,M5,9.3,-6.2,-5,-4.7,10.45299861
282,9724,,Gl 84,6782,,Gl 84,,,,,M3,9.4,-3.1,-0.4,-8.9,10.31529984
283,21932,1,BD+18°683,15471,,,BD+18°683,285968,,,M2,9.4,-9,0,-2.8,10.07980455
284,29277,1,Gl 226,20979,,Gl 226,,,,,M3,9.4,-5.6,6.4,4,10.63532031
285,0,,GJ 1065,86080,,GJ 1065,,,-,,dM4,9.5,-6.8,-1.8,-6.4,12.89387744
286,0,,NN 3306,86141,,NN 3306,,,-,,DQ7,9.5,-7.2,-3.4,-5.3,13.87801358
287,0,,Gl 432 B,86593,,Gl 432 B,,,-,,m,9.5,2.2,-8.2,4.4,15.10263506
288,0,,NN 3988,86972,,NN 3988,,,-,,k-m,9.5,1.5,7.4,5.8,13.6700787
289,9786,1,NN 3135,6821,,NN 3135,,,,,K:...,9.5,-1.8,-2,-9.1,12.26914196
290,47425,1,Gl 358,35165,,Gl 358,,,,,M:,9.5,-0.3,-9.4,1.4,10.86296657
291,56452,,Gl 432,41707,,Gl 432,,100623,4458,,K0V,9.5,2.2,-8.2,4.4,6.082635061
292,56997,,61 Ursae Majoris,42095,61 Ursae Majoris,Gl 434,,101501,4496,,G8Vvar,9.5,-2.7,-0.2,9.1,5.432013605
293,86776,1,BD+43°2796,62466,,Gl 694,BD+43°2796,,,,M3,9.5,2.9,7.7,4.8,10.58399702
294,0,,GJ 1001,85758,,GJ 1001,,,-,,M3.5,9.6,2.5,-1.1,-9.2,12.92933859
295,0,,NN 3253,86082,,NN 3253,,,-,,M4.5,9.6,-8.5,1,-4.5,13.7851667
296,0,,NN 3275,86107,,NN 3275,,,-,,dM4.5e,9.6,-9,0.6,-3.5,12.9851667
297,0,,Gl 633,86947,,Gl 633,,,-,,M3,9.6,8.9,-3.5,0.1,12.77765842
298,0,,GJ 1207,86961,,GJ 1207,,,-,,dM3.5,9.6,8.5,2.3,3.7,12.37350249
299,0,,NN 3855,86819,,NN 3855,,,-,,M6.5,9.7,-1.2,5.7,7.8,17.95050161
300,46655,,GJ 1125,34577,,GJ 1125,,,,,K:...,9.7,-4.7,-6.4,5.5,11.78596021
301,61629,1,Gl 479,45250,,Gl 479,,,,,M3,9.7,4.9,-8.1,1.8,10.7455408
302,0,,Gl 102,85967,,Gl 102,,,-,,M4,9.8,-7.2,4.1,-5.2,13.01149978
303,0,,GJ 1138,86540,,GJ 1138,,,-,,m,9.8,-4.4,-0.6,8.7,13.07149978
304,0,,GJ 1256,87212,,GJ 1256,,,-,,dM4-5,9.8,4.7,8.2,-2.7,13.46446854
305,31635,,Gl 239,22880,,Gl 239,,260655,,,M1:,9.8,-9.4,-2.7,0.8,9.664254802
306,47780,,Gl 367,35430,,Gl 367,,,,,M1:,9.8,0.4,-9.8,1,10.15023153
307,72944,,Gl 569,52775,,Gl 569,,,,,M2Ve,9.8,4.7,1.6,8.5,10.24108401
308,81300,,12 Ophiuchi,58461,12 Ophiuchi,Gl 631,,149661,6171,,K2V,9.8,8.4,2,4.7,5.79874128
309,82003,1,BD+33°2777,58972,,Gl 638,BD+33°2777,151288,,,K7V,9.8,4.3,6.2,6.3,8.160439235
310,86057,1,Gl 680,61946,,Gl 680,,,,,K5,9.8,9.2,-3,-1.5,10.19937817
311,0,,GJ 2012,85812,,GJ 2012,,,-,,DQ9,9.9,-0.1,0.9,-9.9,14.54730266
312,0,,NN 3049,85815,,NN 3049,,,-,,M4,9.9,1.5,-1.9,-9.6,13.12160687
313,71898,,Wo 9492,52076,,Wo 9492,,,,,M3,9.9,-1.9,6.4,7.3,10.8589045
314,84581,,Hip 84581,60845,,,,,,,,9.9,9.2,2.4,2.9,11.10924061
315,102409,,Gl 803,74320,,Gl 803,,197481,,,M1Ve,9.9,7.8,1.7,-6,8.822774041
316,0,,GJ 1028,85850,,GJ 1028,,,-,,m,10,-1.3,1,-9.9,14.46
317,0,,NN 3119,85906,,NN 3119,,,-,,m,10,-4,1.5,-9,14.6
318,0,,NN 3126,85915,,NN 3126,,,-,,M4,10,-6.5,7.6,0.3,11.03
319,0,,NN 3304,86139,,NN 3304,,,-,,m,10,-9.7,1.4,-2.1,12.53
320,0,,NN 3512,86377,,NN 3512,,,-,,m,10,-7.4,3.1,6,15.05433861
321,0,,NN 3959,86934,,NN 3959,,,-,,m+,10,3.1,6.6,6.8,14.79
322,0,,NN 3976,86956,,NN 3976,,,-,,m,10,6,5.4,5.9,14.08
323,0,,NN 4248,87318,,NN 4248,,,-,,M3.5,10,6,0.7,-8,11.8
324,8362,,Gl 75,5846,,Gl 75,,10780,511,,K0V,10,-6.3,7.7,0.3,5.63520529
325,76362,,Hip 76362,55092,,,,,,,,10,6,-7.3,-3.4,11.64782744
326,85665,1,BD+05°3409,61653,,Gl 678.1,BD+05°3409,,,,M1V...,10,8.2,4.5,3.5,9.303688369
327,0,,Gl 22 B,85796,,Gl 22 B,,,-,,dM3.5,10.1,-5.2,8.6,0.8,12.37246561
328,0,,NN 3079,85860,,NN 3079,,,-,,DAwk,10.1,-3.1,3.1,-9.1,14.06817597
329,0,,Gl 609,86901,,Gl 609,,,-,,M3,10.1,5.7,4,7.2,12.54693192
330,2552,,Gl 22,1801,,Gl 22,,,,,M2.5Ve,10.1,-5.2,8.6,0.8,10.35246561
331,4872,1,BD+61°195,3411,,Gl 49,BD+61°195,,,,K5V...,10.1,-5.7,8.3,-0.1,9.547805578
332,29271,1,Alpha Mensae,20973,Alpha Mensae,Gl 231,,43834,2261,,G5V,10.1,2.4,-8.6,-4.9,5.04806279
333,68184,1,BD+62°1325,49626,,,BD+62°1325,122064,5256,,K3V,10.1,-2,5.6,8.2,6.467517851
334,94349,,Gl 748,68171,,Gl 748,,,,,M4,10.1,8,6.2,-0.6,11.06850347
335,0,,Gl 127.1B,86015,,Gl 127.1B,,,-,,,10.2,2,-7,-7,14.69718115
336,0,,NN 3526,86413,,NN 3526,,,-,,m,10.2,-6.7,4.5,6.1,12.61276759
337,0,,GJ 1129,86470,,GJ 1129,,,-,,m,10.2,-2.7,-8.8,4.5,12.55613038
338,0,,NN 3571,86476,,NN 3571,,,-,,m,10.2,-5.7,-3.5,7.7,14.00613038
339,0,,Gl 568 B,86835,,Gl 568 B,,,-,,,10.2,4,2.6,9,12.65236027
340,0,,GJ 1235,87132,,GJ 1235,,,-,,k-m,10.2,5.8,8.3,0.5,13.34497549
341,0,,Gl 799 B,87215,,Gl 799 B,,,-,,dM4.5e,10.2,8.1,1.6,-6.1,10.95169427
342,0,,Gl 852,87340,,Gl 852,,,-,,dM4.5e,10.2,4.1,5.3,-7.7,13.35834504
343,0,,Gl 852 B,87341,,Gl 852 B,,,-,,dM5 e,10.2,4.1,5.3,-7.7,14.35834504
344,14754,,Gl 127.1,10355,,Gl 127.1,,,,,DA,10.2,2,-7,-7,11.36718115
345,21553,1,BD+52°857,15202,,Gl 172,BD+52°857,232979,,,K8V,10.2,-9.1,4.6,0.7,8.568787698
346,50798,,Hip 50798,37663,,,,,,,,10.2,1.5,-10,1.4,11.44989395
347,57087,1,Gl 436,42158,,Gl 436,,,,,M3,10.2,-2.3,-1.4,9.9,10.62013949
348,58345,1,Gl 453,43004,,Gl 453,,103932,,,K4V,10.2,2.7,-8,5.7,6.939672749
349,62556,1,Gl 487,45857,,Gl 487,,,,,M4,10.2,-3.5,5.4,7.9,10.85923027
350,68469,1,BD-01°2892,49807,,Gl 536,BD-01°2892,122303,,,K5,10.2,5.2,-2.4,8.4,9.661883799
351,72896,,Gl 568,52744,,Gl 568,,,,,,10.2,4,2.6,9,12.14236027
352,102141,,Gl 799,74120,,Gl 799,,196982,,,Mpe,10.2,8.1,1.6,-6.1,10.94169427
353,117828,1,Hip 117828,85405,,,,223889,,,M...,10.2,4.7,-6.1,-6.7,9.955637426
354,0,,NN 3182,85990,,NN 3182,,,-,,DC9,10.3,-7.8,6.7,-0.8,15.25385867
355,0,,GJ 1083,86207,,GJ 1083,,,-,,m,10.3,-10.3,-0.5,-0.6,14.77713237
356,0,,Gl 339.1,86432,,Gl 339.1,,,-,,DXP7,10.3,-7.3,2.1,7,13.77713237
357,37826,,Pollux,27698,78 Beta Geminorum,Gl 286,,62509,2990,Pollux,K0IIIvar,10.3,-9.3,-2,4.1,1.068030415
358,83043,1,BD+25°3173,59717,,Gl 649,BD+25°3173,,,,M2,10.3,5.8,6.1,6,9.581618885
359,108782,1,BD+00°4810,79073,,Gl 846,BD+00°4810,209290,,,M0,10.3,3.8,6.9,-6.7,9.113410899
360,0,,NN 3147,85943,,NN 3147,,,-,,m+,10.4,-7.4,5.8,-4.2,15.91488563
361,0,,Gl 170,86130,,Gl 170,,,-,,M4.5,10.4,-9.9,3.2,-1.1,13.81909304
362,0,,GJ 1119,86408,,GJ 1119,,,-,,m,10.4,-7.7,0.9,6.8,13.24488563
363,0,,GJ 1134,86528,,GJ 1134,,,-,,m,10.4,-5.1,-0.3,9.1,12.89587536
364,0,,53 Xi Ursae Majoris,86575,53 Xi Ursae Majoris,Gl 423,,98231,4375,,G0 Ve,10.4,-3.6,-1,9.7,4.241356165
365,0,,53 Xi Ursae Majoris,86576,53 Xi Ursae Majoris,Gl 423 B,,98230,4374,,G0 Ve,10.4,-3.6,-1,9.7,4.711356165
366,0,,Gl 452.1,86618,,Gl 452.1,,,-,,M3.5,10.4,-0.5,-3.9,9.7,12.68361694
367,0,,Gl 508 B,86722,,Gl 508 B,,,-,,,10.4,-1.3,3.6,9.7,9.720610414
368,0,,NN 4071,87084,,NN 4071,,,-,,m,10.4,7.4,7.2,1.5,12.72135617
369,0,,GJ 1265,87334,,GJ 1265,,,-,,m,10.4,4.9,4,-8.3,13.47682755
370,10279,,Gl 87,7159,,Gl 87,,,,,M3V:,10.4,-5.7,2.3,-8.4,9.977680408
371,13402,,Gl 117,9394,,Gl 117,,17925,857,,K1V,10.4,-5.3,-1.1,-8.8,5.948807801
372,65026,,Gl 508,47470,,Gl 508,,115953,,,K0,10.4,-1.3,3.6,9.7,8.860610414
373,0,,NN 3125,85913,,NN 3125,,,-,,m,10.5,-6.3,8.1,2.1,14.00861803
374,0,,NN 3270,86101,,NN 3270,,,-,,dM4 e,10.5,-9.2,-0.7,-5,13.70861803
375,0,,GJ 2036 B,86157,,GJ 2036 B,,,-,,,10.5,-0.8,-8.2,-6.6,12.03861803
376,0,,Gl 352 B,86457,,Gl 352 B,,,-,,,10.5,-3.8,-8.6,4.7,10.68747485
377,0,,NN 3849,86815,,NN 3849,,,-,,dM9,10.5,2.2,3.2,9.8,19.62861803
378,14632,1,Iota Persei,10260,Iota Persei,Gl 124,BD+49°857,19373,937,,G0V,10.5,-8.5,6.1,-1.4,3.937017404
