HabHyg,Hip,Hab?,Display Name,Hyg,BayerFlamsteed,Gliese,BD,HD,HR,Proper Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
1268,92451,1,NN 4079,66697,,NN 4079,,,,,M3,16.7,13.7,-6.8,-6.7,9.608583693
1269,95995,,Gl 762.1,69413,,Gl 762.1,,184467,,,K1V,16.7,-0.1,15.9,5.2,5.474957924
1270,0,,GJ 1058,86030,,GJ 1058,,,-,,m,16.8,-12.3,0.2,-11.4,13.64893222
1271,0,,Gl 645,86960,,Gl 645,,,-,,M1,16.8,16.3,-3.6,1.1,10.3162313
1272,6379,,Gl 56.5,4447,,Gl 56.5,,7924,,,K0,16.8,-9.3,13.4,4.1,5.981124524
1273,26081,,Gl 207.1,18509,,Gl 207.1,,,,,M2.5Ve,16.8,-15,-6.1,-4.7,10.40075929
1274,39157,,Gl 295,28736,,Gl 295,,65583,,,G8V,16.8,-14.6,-3.2,7.6,5.873314613
1275,52186,1,Gl 399,38709,,Gl 399,,,,,M,16.8,-3.2,-11.8,11.5,10.17112452
1276,63550,1,NN 3759,46496,,NN 3759,,,,,,16.8,9.4,-13.9,-0.1,9.821124524
1277,65355,1,BD+03°2766,47692,,NN 3782 B,BD+03°2766,116443,,,G5,16.8,5.7,-4.5,15.1,6.234773445
1278,67960,1,GJ 1181,49483,,GJ 1181,,121271,,,K5/M0V,16.8,10.8,-9.3,8.8,8.465138
1279,70529,,Gl 548,51175,,Gl 548,,,,,M1,16.8,5.4,3,15.6,8.624044152
1280,80268,1,Gl 620,57753,,Gl 620,,,,,M2,16.8,15.9,-2.1,5,9.101124524
1281,99427,,Gl 786,72061,,Gl 786,,193202,,,K5,16.8,-5.3,14.6,6.3,7.753679413
1282,0,,GJ 1042,85933,,GJ 1042,,,-,,DZ7,16.9,-12,10.4,-5.9,13.38160853
1283,0,,NN 3173,85978,,NN 3173,,,-,,DA8,16.9,-11,3.1,-12.5,13.94426006
1284,0,,NN 3241,86058,,NN 3241,,,-,,dM3.1,16.9,-14.9,4.1,-6.9,11.64426006
1285,0,,Gl 168.2,86109,,Gl 168.2,,,-,,m,16.9,-15.8,1,-6,14.6279374
1286,0,,NN 3328,86168,,NN 3328,,,-,,g,16.9,-15.2,-4.4,-6.1,10.39426006
1287,0,,Gl 200 B,86185,,Gl 200 B,,,-,,M2,16.9,-14.2,-6.6,-6.3,10.56490725
1288,0,,NN 3482 B,86347,,NN 3482 B,,,-,,m,16.9,-14.2,-5.5,7.4,9.854260058
1289,0,,NN 3545,86436,,NN 3545,,,-,,m,16.9,3,-16.5,-2.6,11.55426006
1290,0,,NN 3599,86508,,NN 3599,,,-,,k-m,16.9,-8.2,-3.9,14.3,12.04426006
1291,0,,Gl 414.1B,86564,,Gl 414.1B,,,-,,M3,16.9,-7.2,1.6,15.2,10.67462807
1292,0,,NN 3673,86595,,NN 3673,,,-,,m,16.9,-5.7,0.9,16,11.96426006
1293,0,,NN 3684,86605,,NN 3684,,,-,,m,16.9,-7.7,8.9,12.2,12.45426006
1294,0,,NN 3843,86805,,NN 3843,,,-,,M3,16.9,9.5,-2.7,13.8,12.00426006
1295,0,,Gl 781.3,87184,,Gl 781.3,,,-,,DA6,16.9,14.2,5.4,-7.6,13.29426006
1296,0,,GJ 1251,87193,,GJ 1251,,,-,,M4.5,16.9,10.6,-9.8,-8.9,12.67426006
1297,0,,NN 4176,87236,,NN 4176,,,-,,m,16.9,3.7,16.4,-2.5,11.14426006
1298,0,,NN 4177 B,87237,,NN 4177 B,,,-,,m,16.9,3.7,16.4,-2.5,11.97426006
1299,0,,NN 4184,87253,,NN 4184,,,-,,m,16.9,4.6,15.7,-4.6,10.98426006
1300,0,,NN 4219,87293,,NN 4219,,,-,,M3.5,16.9,-0.9,16.9,-1.6,12.21426006
1301,0,,NN 4282,87364,,NN 4282,,,-,,M3,16.9,5.9,8.3,-13.5,11.26426006
1302,0,,NN 4381,87470,,NN 4381,,,-,,m,16.9,-5.7,14.5,-6.6,11.49426006
1303,6351,,Gl 57,4428,,Gl 57,,,,,K5,16.9,0.9,-4.5,-16.2,9.004907252
1304,24819,,Gl 200,17572,,Gl 200,,34673,,,K3V,16.9,-14.2,-6.6,-6.3,6.564907252
1305,35136,,GJ 1095,25609,,GJ 1095,,55575,2721,,G0V,16.9,-15.2,2.6,6.7,4.50563962
1306,53953,,GJ 1141 B,39950,,GJ 1141 B,,,,,M2V:,16.9,-5,-5.9,15,10.49563962
1307,54658,1,Gl 414.1,40467,,Gl 414.1,,,,,M4,16.9,-7.2,1.6,15.2,10.32462807
1308,66182,,Hip 66182,48251,,,,,,,,16.9,10.6,-12.9,2.6,11.8179374
1309,82588,,Gl 641,59397,,Gl 641,,152391,,,G8V,16.9,14.4,4.8,7.4,5.495731744
1310,113718,1,BD-04°5804,82531,,Gl 886,BD-04°5804,217580,,,K4V,16.9,3.4,9.1,-13.9,6.315731744
1311,116085,1,BD+58°2605,84184,,Gl 895.4,BD+58°2605,221354,,,K2V,16.9,-6.5,15.5,-0.6,5.60563962
